ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
AMPH,69,47.42,,,,,,,,,none,late,small,False,21.43,60,-0.2005,50.00,50.00,0,50.00,0,,61.00,MEDIUM,MODERATE,76.43,ev_cfo,0.8000,50,unknown,,50,,80.0,crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CAI,70,47.30,,,,,,,,,none,late,mid,False,7.25,60,-0.3412,92.32,94.62,100.00,60.20,6,,57.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CLDX,71,46.36,,,,,,,,,none,late,small,False,24.33,60,-0.1801,63.40,49.41,16.78,64.80,7,Baker Bros,77.00,LOW,MODERATE,74.22,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
VRTX,72,46.26,,,,,,,,,none,late,large,False,40.20,60,-0.0726,65.00,56.11,35.36,54.80,7,,54.00,LOW,LOW,36.43,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
INDV,73,46.00,,,,,,,,,none,early,mid,False,47.30,60,-0.0200,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,59.29,ev_cfo,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80000,0.95,0.85,0.45,0.7
SLN,74,45.95,,,,,,,,,none,mid,micro,False,7.25,60,-0.3924,50.00,50.00,0,50.00,0,,41.00,LOW,LOW,77.27,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
PTGX,75,45.73,,,,,,,,,none,mid,mid,False,46.92,60,-0.0228,50.00,50.00,0,57.20,4,Perceptive,59.00,LOW,MODERATE,30.71,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.7
TVTX,76,45.69,,,,,,,,,none,late,mid,False,35.34,60,-0.1086,50.00,50.00,0,61.20,4,RA Capital,59.00,MEDIUM,MODERATE,43.09,ev_revenue,0.8000,50,unknown,,50,,20.0,uncrowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.7
ABCL,77,45.55,,,,,,,,,none,early,small,False,7.25,60,-0.3638,50.00,50.00,0,53.00,2,Baker Bros,80.00,MEDIUM,HIGH,50,neutral,0.2,50,unknown,,50,,90.0,highly_crowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.7
AXSM,78,45.42,,,,,,,,,none,late,mid,False,75.58,60,0.1795,73.70,65.42,46.10,58.40,6,Perceptive,75.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,69.8,BTD; FT,90.0,moderate,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
BCYC,79,45.25,,,,,,,,,none,mid,small,False,7.25,60,-0.3207,73.70,57.61,20.07,56.40,2,Baker Bros,57.00,LOW,LOW,55.45,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.7
MIRM,80,45.15,,,,,,,,,none,late,mid,False,77.92,60,0.1959,50.00,50.00,0,60.60,4,Perceptive,67.00,MEDIUM,MODERATE,12.86,ev_cfo,0.8000,43.75,strong,Ipsen,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CRNX,81,45.14,,,,,,,,,none,late,mid,False,74.06,60,0.1689,98.00,80.39,39.31,62.00,6,Baker Bros; Perceptive,73.00,MEDIUM,MODERATE,20.81,mcap_per_trial,0.8000,50,unknown,,64.8,ODD; FT,100.0,highly_crowded,79.0,diversified,0.87500,0.95,0.95,0.65,0.7
IMTX,82,45.06,,,,,,,,,none,late,small,False,40.00,60,-0.0741,50.00,50.00,0,61.20,4,Baker Bros,50,UNKNOWN,UNKNOWN,66.77,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
CRL,83,45.01,,,,,,,,,none,early,large,False,54.02,60,0.0298,100.00,93.59,78.63,52.40,1,,60.00,LOW,LOW,56.43,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
GLUE,84,45.00,,,,,,,,,none,early,small,False,92.75,60,1.5895,50.00,50.00,0,55.40,2,Baker Bros,59.00,MEDIUM,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.80500,0.95,0.85,0.45,0.7
RARE,85,44.74,,,,,,,,,none,late,mid,False,7.25,60,-0.3918,86.48,65.84,17.69,52.80,5,Baker Bros; Perceptive,64.00,LOW,LOW,53.72,ev_revenue,0.8000,33.82,strong,Alexion,76.2,ODD; BTD; RMAT,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CATX,86,44.44,,,,,,,,,none,early,micro,False,7.25,60,-0.3393,50.00,50.00,0,50.00,0,,59.00,MEDIUM,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.74500,0.95,0.85,0.45,0.7
AMLX,87,43.89,,,,,,,,,none,late,small,False,67.57,60,0.1302,63.40,49.41,16.78,65.00,7,,65.00,LOW,MODERATE,40.68,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,79.0,diversified,0.83000,0.95,0.95,0.45,0.7
NAMS,88,43.89,,,,,,,,,none,late,mid,False,14.53,60,-0.2489,86.48,65.84,17.69,58.80,3,RA Capital,65.00,LOW,LOW,38.82,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CDNA,89,43.85,,,,,,,,,none,early,small,False,77.60,60,0.1937,50.00,50.00,0,52.40,1,,79.00,LOW,MODERATE,33.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CABA,90,43.42,,,,,,,,,sev1,early,micro,False,66.29,60,0.1207,50.00,50.00,0,53.60,4,,71.00,MEDIUM,MODERATE,83.93,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,66.0,focused,0.83000,0.95,0.95,0.45,0.7
REGN,91,43.21,,,,,,,,,none,late,large,False,45.85,60,-0.0308,50.00,41.34,21.14,54.20,9,,75.00,LOW,LOW,63.57,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,75.0,uncrowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
CADL,92,43.08,,,,,,,,,none,late,small,False,23.09,60,-0.1888,50.00,50.00,0,54.80,2,,65.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
PACB,93,42.98,,,,,,,,,none,late,small,False,66.84,60,0.1247,50.00,50.00,0,52.40,1,,65.00,LOW,MODERATE,73.60,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
MEDP,94,42.95,,,,,,,,,none,late,large,False,34.23,60,-0.1168,57.61,42.23,6.33,53.00,3,,61.00,LOW,LOW,45.00,ev_cfo,0.8000,50,unknown,,50,,50,unknown,80.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.7
SRPT,95,42.82,,,,,,,,,none,late,mid,False,15.02,60,-0.2454,50.00,41.57,21.89,50.60,1,,69.00,MEDIUM,MODERATE,88.83,ev_revenue,0.8000,48.75,exceptional,Roche,81.0,ODD; BTD; FT; RMAT,100.0,highly_crowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
KNSA,96,42.78,,,,,,,,,none,late,mid,False,43.65,60,-0.0470,98.00,80.39,39.31,54.00,1,Baker Bros,51.00,LOW,LOW,37.86,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,84.0,diversified,0.87000,0.95,0.95,0.65,0.7
HALO,97,42.15,,,,,,,,,none,late,mid,False,30.64,60,-0.1434,50.00,50.00,0,50.00,0,,63.00,MEDIUM,MODERATE,57.86,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
TYRA,98,42.09,,,,,,,,,none,mid,small,False,92.75,60,0.8774,50.00,50.00,0,57.20,3,Baker Bros; Perceptive; RA Capital,61.00,MEDIUM,MODERATE,31.82,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
HRMY,99,41.85,,,,,,,,,none,late,mid,False,37.96,60,-0.0892,50.00,50.00,0,54.20,4,,69.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.7
RAPP,100,41.71,,,,,,,,,none,mid,small,False,45.12,60,-0.0361,50.00,50.00,0,60.20,4,Baker Bros,57.00,LOW,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.74000,0.95,0.85,0.45,0.7
DSGN,101,41.71,,,,,,,,,none,mid,small,False,92.75,60,0.5700,50.00,50.00,0,58.80,3,Baker Bros; RA Capital,53.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,10.0,uncrowded,35.0,single_asset,0.74500,0.95,0.85,0.45,0.7
IRON,102,41.68,,,,,,,,,none,late,mid,False,31.26,60,-0.1388,86.48,65.84,17.69,63.20,7,Baker Bros; RA Capital,57.00,LOW,MODERATE,41.30,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
MDGL,103,41.54,,,,,,,,,none,late,large,False,45.41,60,-0.0340,73.52,59.37,26.36,68.00,11,Baker Bros; Perceptive,73.00,MEDIUM,MODERATE,18.62,ev_revenue,0.8000,50,unknown,,69.8,BTD; FT,100.0,highly_crowded,79.0,diversified,0.83000,0.95,0.95,0.45,0.7
TENX,104,41.45,,,,,,,,,none,late,micro,False,92.75,60,0.7537,50.00,50.00,0,53.60,3,,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
TECH,105,41.20,,,,,,,,,none,late,large,False,39.68,60,-0.0764,84.83,89.02,98.79,50.00,0,,58.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
SGMT,106,41.11,,,,,,,,,none,late,micro,False,7.25,60,-0.4727,50.00,50.00,0,56.40,4,Baker Bros,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,diversified,0.83500,0.95,0.95,0.45,0.7
BCRX,107,40.89,,,,,,,,,none,late,small,False,7.25,60,-0.3558,50.00,50.00,0,57.60,4,Perceptive,73.00,MEDIUM,MODERATE,39.29,ev_cfo,0.8000,50,unknown,,50,,100.0,crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
MAZE,108,40.73,,,,,,,,,none,mid,mid,False,92.75,60,0.5911,50.00,50.00,0,57.80,5,,55.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,75.0,uncrowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.7
FATE,109,40.52,,,,,,,,,none,mid,micro,False,36.95,60,-0.0967,50.00,50.00,0,54.20,4,,59.00,LOW,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,67.2,ODD; RMAT,100.0,highly_crowded,84.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ROIV,110,40.04,,,,,,,,,none,mid,large,False,64.07,60,0.1042,50.00,50.00,0,58.80,3,Baker Bros,64.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.74000,0.95,0.85,0.45,0.7
SEPN,111,40.01,,,,,,,,,none,early,small,False,72.98,60,0.1612,73.52,59.37,26.36,58.20,3,RA Capital,61.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80500,0.95,0.85,0.45,0.7
CRMD,112,39.27,,,,,,,,,none,late,small,False,7.25,60,-0.5495,70.22,53.67,15.05,56.00,3,,65.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
VCEL,113,39.18,,,,,,,,,none,late,small,False,19.72,60,-0.2125,50.00,50.00,0,50.00,0,,71.00,LOW,MODERATE,29.29,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ALNY,114,38.96,,,,,,,,,none,late,large,False,7.25,60,-0.4163,50.00,50.00,0,57.20,3,,48.00,LOW,LOW,12.86,ev_cfo,0.8000,67.83,exceptional,Regeneron; Roche,73.8,ODD; BTD; FT,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
AVXL,115,38.85,,,,,,,,,none,late,small,False,7.25,60,-0.5013,50.00,50.00,0,50.00,0,,86.00,MEDIUM,HIGH,83.54,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
RGNX,116,38.41,,,,,,,,,none,late,small,False,48.35,60,-0.0123,98.00,80.39,39.31,50.00,0,,75.00,LOW,MODERATE,85.40,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
TNYA,117,38.39,,,,,,,,,none,early,micro,False,7.25,60,-0.5235,50.00,50.00,0,52.40,4,,50.00,MEDIUM,LOW,87.50,mcap_per_trial,0.8000,50,unknown,,50,,20.0,uncrowded,54.0,focused,0.83500,0.95,0.95,0.45,0.7
GPCR,118,38.16,,,,,,,,,none,mid,mid,False,92.75,60,2.0283,50.00,50.00,0,62.80,4,Baker Bros; RA Capital,48.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.83500,0.95,0.95,0.45,0.7
ARCT,119,37.81,,,,,,,,,none,late,micro,False,7.25,60,-0.4034,50.00,50.00,0,50.00,0,,84.00,HIGH,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
PCVX,120,37.69,,,,,,,,,none,late,mid,False,61.97,60,0.0886,50.00,50.00,0,61.40,8,Baker Bros; RA Capital,65.00,LOW,MODERATE,10.00,mcap_per_trial,0.8000,52.75,exceptional,Merck,69.8,BTD; FT,10.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.7
JBIO,121,37.67,,,,,,,,,none,early,small,False,92.75,60,0.4461,50.00,50.00,0,50.00,0,,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.74500,0.95,0.85,0.45,0.7
ZLAB,122,37.47,,,,,,,,,none,late,small,False,7.25,60,-0.5676,80.00,70.60,48.68,54.80,2,,62.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
RCKT,123,37.24,,,,,,,,,sev1,mid,small,False,23.64,60,-0.1850,50.00,50.00,0,54.80,7,,63.00,MEDIUM,MODERATE,79.09,mcap_per_trial,0.8000,52.75,exceptional,Roche,81.0,ODD; BTD; FT; RMAT,45.0,uncrowded,79.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
RXRX,124,37.02,,,,,,,,,none,mid,mid,False,7.25,60,-0.3413,50.00,50.00,0,51.80,2,,71.00,HIGH,HIGH,26.36,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
NBP,125,36.86,,,,,,,,,none,mid,small,False,8.15,60,-0.2937,50.00,50.00,0,50.00,0,,56.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,10.0,uncrowded,35.0,single_asset,0.74500,0.95,0.85,0.45,0.7
SNDX,126,36.73,,,,,,,,,sev1,mid,small,False,82.21,60,0.2260,50.00,50.00,0,61.40,7,,88.00,MEDIUM,HIGH,66.36,mcap_per_trial,0.8000,47.82,strong,Incyte,50,,100.0,highly_crowded,84.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
SPRY,127,36.67,,,,,,,,,none,early,small,False,8.18,60,-0.2934,50.00,50.00,0,50.20,4,RA Capital,80.00,HIGH,HIGH,33.93,mcap_per_trial,0.8000,50,unknown,,50,,20.0,uncrowded,63.0,focused,0.80500,0.95,0.85,0.45,0.7
MLTX,128,36.11,,,,,,,,,none,late,small,False,37.52,60,-0.0925,65.90,51.31,17.27,54.80,7,,50,UNKNOWN,UNKNOWN,50.62,mcap_per_trial,0.8000,50,unknown,,50,,60.0,uncrowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ONC,129,36.09,,,,,,,,,none,late,large,False,31.53,60,-0.1368,50.00,50.00,0,50.00,0,,51.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
TERN,130,36.08,,,,,,,,,none,mid,mid,False,92.75,60,2.9266,50.00,50.00,0,52.40,1,,48.00,LOW,LOW,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.83500,0.95,0.95,0.45,0.7
LCTX,131,35.89,,,,,,,,,none,early,small,False,27.55,60,-0.1575,50.00,50.00,0,50.00,0,,66.00,MEDIUM,MODERATE,69.64,mcap_per_trial,0.8000,50,unknown,,50,,20.0,uncrowded,64.0,focused,0.83500,0.95,0.95,0.45,0.7
CMPS,132,35.75,,,,,,,,,sev1,early,small,False,49.14,60,-0.0064,50.00,50.00,0,62.00,8,,71.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.74000,0.95,0.85,0.45,0.7
ABEO,133,35.62,,,,,,,,,none,late,micro,False,12.39,60,-0.2639,50.00,50.00,0,52.40,1,,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,35.0,uncrowded,76.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ABUS,134,35.56,,,,,,,,,none,mid,small,False,16.43,60,-0.2356,57.52,42.15,6.29,50.00,0,,53.00,LOW,LOW,57.27,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,78.0,diversified,0.80500,0.95,0.95,0.30,0.7
OCUL,135,35.53,,,,,,,,,none,late,mid,False,7.25,60,-0.3291,55.00,42.78,14.27,60.20,8,,57.00,LOW,LOW,62.42,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CLYM,136,35.19,,,,,,,,,none,mid,small,False,92.75,60,1.1803,50.00,50.00,0,54.00,1,RA Capital,50,UNKNOWN,UNKNOWN,60.91,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,67.0,focused,0.83500,0.95,0.95,0.45,0.7
HROW,137,35.07,,,,,,,,,none,late,small,False,35.44,60,-0.1078,50.00,50.00,0,50.60,1,,73.00,MEDIUM,MODERATE,27.86,ev_cfo,0.8000,50,unknown,,50,,10.0,uncrowded,35.0,single_asset,0.80000,0.95,0.85,0.45,0.7
ACAD,138,34.74,,,,,,,,,none,late,mid,False,29.76,60,-0.1499,68.00,57.97,34.55,55.80,5,Baker Bros,65.00,LOW,LOW,55.00,ev_cfo,0.8000,31.39,strong,Takeda,73.8,ODD; BTD; FT,75.0,uncrowded,84.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
RYTM,139,34.64,,,,,,,,,none,late,mid,False,13.67,60,-0.2550,50.00,50.00,0,62.60,7,Baker Bros; RA Capital,63.00,LOW,MODERATE,10.00,mcap_per_trial,0.8000,50,unknown,,69.0,ODD; BTD,90.0,moderate,80.0,diversified,0.83500,0.95,0.95,0.45,0.7
FOLD,140,34.64,,,,,,,,,none,late,mid,False,92.75,60,0.4044,50.00,50.00,0,57.20,3,,60.00,LOW,LOW,12.86,ev_cfo,0.8000,36.75,strong,Roche,69.0,ODD; BTD,100.0,highly_crowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
